,relative_humidity_sd,relative_humidity_corr,precipitation_flux_sd,precipitation_flux_corr,air_pressure_at_mean_sea_level_sd,air_pressure_at_mean_sea_level_corr,toa_outgoing_longwave_flux_sd,toa_outgoing_longwave_flux_corr,toa_outgoing_shortwave_flux_sd,toa_outgoing_shortwave_flux_corr,air_temperature_500_sd,air_temperature_500_corr,air_temperature_tas_sd,air_temperature_tas_corr
FGOALS-f3-L,1.0262796788257158,0.9697715993484047,0.8699428440842043,0.7213771297493274,1.1235461623016034,0.9843882862205864,0.9512035918204308,0.9776721839844503,1.2095091193828658,0.8323559110313606,0.9556327245279079,0.9982514791111857,1.019307986052536,0.994206224551615
CNRM-CM6-1,0.9070144774974633,0.9190875254582644,0.948101112795283,0.8575302818337845,0.9542932183662144,0.9669780240707154,0.9433571021363604,0.9771953104650039,1.0581974389455056,0.7916695109822881,0.9740922531622153,0.9983082354746936,0.9929902251231708,0.9887686868135863
CNRM-ESM2-1,0.9178980439433453,0.9139363657861949,0.9455809802732407,0.8489498624785029,0.9300782032968004,0.9602603335812934,0.9491351233696435,0.9768804133807594,1.0576107320670256,0.7874049087146682,0.970087594143922,0.9981014961798762,0.996054501401252,0.9885024902086346
ACCESS-ESM1-5,,,1.2158967929119087,0.8775699668117574,1.1039378503085495,0.968279591641125,1.1052412638144926,0.9781359828384427,0.9177840137463994,0.8012079006539582,1.0231653056521013,0.9984625587326933,0.96040252110792,0.990945122789721
ACCESS-CM2,,,1.0603483754512528,0.8911347932737539,0.9815918742255139,0.9706877556684663,1.0977858601895985,0.9720436372192408,0.9695680254909514,0.8843530796098389,1.0251279888199194,0.9991608109635383,1.0117287070330947,0.9945449587249763
IPSL-CM6A-LR,0.9799626704352884,0.959242837353088,1.3842398912614176,0.8460731041820114,0.9767965361012009,0.9551205546595838,0.9744994086531037,0.9821747528794167,1.124025105357818,0.8468979738399705,0.9972859792546317,0.9971780680434724,0.9936021055628707,0.9873357547638846
BCC-CSM2-MR,0.9870269333206557,0.9648082744228493,1.0855336204342219,0.8303645793466575,1.2275468678855364,0.9761169211308872,1.0337449407138948,0.9791383931892544,1.1692823956542446,0.8238333374335266,0.982291541362728,0.9987302008159891,0.9841468250720153,0.9936336537864127
MIROC6,1.0581161389813964,0.9428517058302281,1.0611975151551463,0.8230673130123668,1.014048552423437,0.9763650094288618,0.9562283720929092,0.9665963683658478,0.9348066787513056,0.6243666945576829,0.9848666257675347,0.9988432448917031,1.0094049167650594,0.9843271489504057
HadGEM3-GC31-LL,0.9841643071967665,0.9615863044491095,1.0310709051889504,0.8821944900582179,1.000376483016017,0.9704692051345706,1.0826197800905875,0.9706613473027315,0.9786593417352618,0.8885076186027661,1.0251835166127483,0.9990231245028706,1.0143637646973336,0.9955170854606324
HadGEM3-GC31-MM,0.935564409151907,0.9763752154006217,1.1518087712844391,0.9074051310890597,0.9669561557770354,0.9769578335099338,1.065628092216862,0.9786993303130046,0.9804352501724272,0.9143623327529337,1.0067214152899855,0.9992007891942554,1.009922188682086,0.9958170152921297
UKESM1-0-LL,0.9912898823252185,0.9636091452803602,1.0472444784884065,0.8791985078448371,1.001067970859113,0.9671345792045467,1.0830997468426165,0.9721242880227705,1.0101016802857272,0.8918186284462836,1.026507613621117,0.9989136773445757,1.0288158700453889,0.9949498562377
MRI-ESM2-0,1.1719548952412342,0.981371583803071,1.2190820781775493,0.8923804964084009,1.0755169412418382,0.985712773985928,0.9942672486143,0.9849573289521576,1.0650728448180402,0.9203711006114189,1.034882609075157,0.9987521555897759,0.9685494722949467,0.9925829396744361
BCC-ESM1,0.9024595086513106,0.9502881825023728,1.1169603145462532,0.8274366993519747,1.0923760076925375,0.9832810409636747,0.9878433919387782,0.9691002671841086,1.0991745718633699,0.7487513341839654,1.0124683613147996,0.9984639322430188,0.9834610768741898,0.9894371686278178
GISS-E2-1-G,0.8720742384094634,0.9327822927398027,0.9533159661366729,0.8395059684438235,0.9631345615384651,0.9825786599958859,0.9424594726376111,0.9749459776530783,1.000065141149954,0.8066372006761207,1.0381693251882735,0.997285834269653,0.9792511538076524,0.9932047981224185
CESM2,1.1597630929514735,0.9780765570742457,1.1350194313882318,0.8908809871560655,1.2232293237449658,0.9797579583882784,1.0111528563721115,0.9793633752443588,1.1812173893708853,0.8999239513521635,1.0017694624031122,0.9984685002820237,0.9593341019204918,0.9936019118152174
CESM2-WACCM,1.164463166414822,0.9787687957561941,1.1029843175097935,0.8909188790252122,1.2064349454605854,0.982029977113307,1.0034958364875104,0.9787703622904717,1.1875753903885855,0.8943215585204719,1.0051831756380982,0.998669002723679,0.9564438257458575,0.9933110070063234
GFDL-AM4,0.9227027529323154,0.9812216227632241,1.0369774730089096,0.9100571649766238,1.1211609500334294,0.9812228765091999,0.9776321935574981,0.9886285212109333,1.0648216525919183,0.9130795799516279,1.0085087519761327,0.9992885611703556,0.9588890311133288,0.9934723689342057
GFDL-CM4,0.9168048039366223,0.9804289814020654,1.0348150240679073,0.909614582421544,1.1661349212519436,0.9794107600058164,0.97796685892429,0.9884050561624821,1.0774270613891679,0.9192527129926108,1.0035673454300575,0.9990434940868711,0.9716903476325915,0.9941980229059698
SAM0-UNICON,1.1941270108517303,0.9619179789274658,0.9510128494408995,0.9092544378588003,1.1213456207443502,0.9829608011670801,1.0788805322561477,0.9841766773959317,1.031058276475945,0.8926189279841547,1.0331348344493456,0.9987534522157322,1.021630860431171,0.9937721023655116
